,UnderlyingSymbol,Type,UnderlyingPrice,Strike,ExpirDay,MidPrice,BSPrice,IVOL
0,A,call,39.42,40.0,0.027397260274,0.725,0.72500005591,0.373222904983
1,AA,call,9.48,9.5,0.027397260274,0.25,0.249999927489,0.410559732331
2,AA,put,9.48,9.0,0.027397260274,0.085,0.0851362752399,0.423940160872
3,AAL,call,42.7,42.5,0.027397260274,1.245,1.24537401927,0.401673071714
4,AAL,put,42.7,40.5,0.027397260274,0.37,0.370649520565,0.422046886361
5,AAP,call,171.92,170.0,0.027397260274,6.55,6.55000089277,0.485804514545
6,AAP,put,171.92,160.0,0.027397260274,1.55,1.5502454025,0.5145092694
7,AAPL,call,113.5499,114.0,0.027397260274,2.515,2.5151425045,0.359871886721
8,AAPL,put,113.5499,107.0,0.027397260274,0.865,0.865002306093,0.428410465142
9,ABBV,call,68.25,68.0,0.027397260274,1.175,1.17535520337,0.227695951629
10,ABBV,put,68.25,64.0,0.0657534246575,0.35,0.350070387281,0.253435241089
11,ABC,call,104.51,105.0,0.027397260274,1.125,1.12500001105,0.192087406597
12,ABC,put,104.51,90.0,0.104109589041,0.15,0.150120345783,0.273844985347
13,ABT,call,50.39,50.0,0.027397260274,0.85,0.850000571126,0.186473039812
14,ABT,put,50.39,47.0,0.027397260274,0.045,0.0451275393745,0.260022608681
15,ACN,call,103.58,104.0,0.0849315068493,1.775,1.77485203869,0.15664050934
16,ACN,put,103.58,98.0,0.0465753424658,0.275,0.275001134883,0.219943780684
17,ADBE,call,83.9,85.0,0.027397260274,0.66,0.660004698821,0.198536694408
18,ADBE,put,83.9,77.5,0.027397260274,0.07,0.0700066564685,0.284628469414
19,ADI,call,59.38,60.0,0.027397260274,1.5,1.50000006318,0.45111755491
20,ADI,put,59.38,55.0,0.027397260274,0.425,0.425144115446,0.491117844766
21,ADM,call,46.07,46.0,0.027397260274,0.6,0.600174753325,0.18110668405
22,ADM,put,46.07,43.5,0.0657534246575,0.335,0.335004963603,0.268157513017
23,ADP,call,81.33,82.5,0.027397260274,0.4,0.400093741147,0.156302140765
24,ADS,call,267.99,270.0,0.104109589041,7.05,7.05060164428,0.22369100659
25,ADS,put,267.99,250.0,0.104109589041,2.475,2.47504778165,0.264806526486
26,ADSK,call,54.06,55.0,0.027397260274,0.74,0.740151701489,0.315858504749
27,ADSK,put,54.06,50.0,0.027397260274,0.115,0.115240874032,0.345686324992
28,ADT,call,33.45,33.0,0.027397260274,0.9,0.900023756114,0.290958357149
29,ADT,put,33.45,31.0,0.027397260274,0.125,0.125004407597,0.395107942088
30,AEP,call,56.85,57.5,0.027397260274,0.35,0.350012751007,0.161419073909
31,AEP,put,56.85,40.0,0.104109589041,0.375,0.000144047840663,0.3
32,AES,call,12.35,13.0,0.104109589041,0.15,0.150005673089,0.235183178461
33,AET,call,118.35,118.0,0.027397260274,2.33,2.33005509818,0.27099540856
34,AET,put,118.35,112.0,0.027397260274,0.34,0.340648452358,0.291335126102
35,AFL,call,64.24,65.0,0.027397260274,0.245,0.245146884825,0.124175048086
36,AFL,put,64.24,60.0,0.027397260274,0.075,0.0750424104432,0.270846764602
37,AGN,call,317.49,317.5,0.027397260274,5.2,5.19995329874,0.243898470103
38,AGN,put,317.49,300.0,0.027397260274,0.85,0.850000937763,0.290670861109
39,AIG,call,63.31,63.5,0.027397260274,0.635,0.635432700272,0.16945004436
40,AIG,put,63.31,60.0,0.027397260274,0.105,0.105252905557,0.245321442704
41,AIZ,call,79.13,80.0,0.104109589041,1.3,1.30000017549,0.158630544968
42,AIZ,put,79.13,75.0,0.027397260274,0.25,0.25020504127,0.29396431356
43,AKAM,call,72.96,73.0,0.027397260274,1.2,1.19998778661,0.248813050286
44,AKAM,put,72.96,69.0,0.0849315068493,0.695,0.695010759741,0.260547510775
45,ALL,call,63.47,62.5,0.027397260274,1.375,1.37503327286,0.185018794098
46,ALL,put,63.47,60.0,0.027397260274,0.1,0.100194289274,0.250539046118
47,ALTR,call,49.53,50.0,0.104109589041,0.55,0.550000650357,0.111772032877
48,ALTR,put,49.53,45.0,0.104109589041,0.275,0.275014095305,0.272394255885
49,ALXN,call,186.31,187.5,0.027397260274,3.5,3.50015901304,0.325626204674
50,ALXN,put,186.31,160.0,0.0657534246575,0.575,0.575001491776,0.409243017641
51,AMAT,call,17.34,17.5,0.027397260274,0.34,0.340151677095,0.357189260426
52,AMAT,put,17.34,16.0,0.027397260274,0.1,0.100055572437,0.470645196158
53,AME,call,55.63,50.0,0.027397260274,5.55,5.67356692672,0.3
54,AME,put,55.63,50.0,0.104109589041,0.275,0.275002975179,0.283404127112
55,AMGN,call,168.56,167.5,0.027397260274,3.275,3.27500001407,0.239451815483
56,AMGN,put,168.56,160.0,0.027397260274,0.715,0.715003197317,0.31753496041
57,AMP,call,123.42,125.0,0.027397260274,1.0,1.00000524671,0.200604117831
58,AMP,put,123.42,115.0,0.104109589041,0.775,0.775540381138,0.231550111616
59,AMT,call,101.0,101.0,0.027397260274,1.125,1.12494482428,0.164256398856
60,AMT,put,101.0,95.0,0.104109589041,0.75,0.750351237863,0.225341202606
61,AMZN,call,527.46,527.5,0.027397260274,9.875,9.87498834245,0.279741106174
62,AMZN,put,527.46,500.0,0.027397260274,1.765,1.76506164693,0.298710705037
